Franchise,TeamSalary
New York Mets,98081928
Cincinnati Reds,57366000
Los Angeles Angels of Anaheim,33778500
Milwaukee Brewers,44990833
Texas Rangers,87871500
Oakland Athletics,41060750
Washington Nationals,35659500
Los Angeles Dodgers,112305953
Chicago Cubs,78549500
Atlanta Braves,101391666
Arizona Diamondbacks,80872999
Baltimore Orioles,59970500
Kansas City Royals,38470000
Houston Astros,82072667
Pittsburgh Pirates,51795833
Colorado Rockies,78682834
Florida Marlins,28360500
New York Yankees,124576143
San Francisco Giants,75030167
Toronto Blue Jays,74295999
Tampa Bay Rays,45458000
Cleveland Indians,94634001
Chicago White Sox,66103667
St. Louis Cardinals,80996666
Boston Red Sox,115428333
San Diego Padres,49467833
Seattle Mariners,72745834
Philadelphia Phillies,48448833
Minnesota Twins,34620000
Detroit Tigers,59316167
