franchise,Hits
New York Mets,1283
Cincinnati Reds,1280
Washington Nationals,1227
Los Angeles Angels of Anaheim,1413
Milwaukee Brewers,1261
Texas Rangers,1244
Oakland Athletics,1432
Los Angeles Dodgers,1352
Chicago Cubs,1298
Florida Marlins,1402
New York Yankees,1447
Atlanta Braves,1262
Baltimore Orioles,1234
Arizona Diamondbacks,1304
Kansas City Royals,1379
Houston Astros,1477
Pittsburgh Pirates,1123
Colorado Rockies,1498
San Francisco Giants,1455
Toronto Blue Jays,1328
Tampa Bay Rays,1015
San Diego Padres,1304
Cleveland Indians,1537
Chicago White Sox,1240
St. Louis Cardinals,1393
Boston Red Sox,1416
Seattle Mariners,1592
Philadelphia Phillies,1333
Minnesota Twins,1431
Detroit Tigers,1327
