Franchise,TeamPricePerHomerun
Washington Nationals,297162.5
Los Angeles Dodgers,555970.0643564357
Chicago Cubs,424591.8918918919
New York Mets,710738.6086956522
Cincinnati Reds,409757.14285714284
Los Angeles Angels of Anaheim,225190.0
Milwaukee Brewers,227226.4292929293
Texas Rangers,435007.42574257427
Oakland Athletics,212750.0
Baltimore Orioles,457790.0763358779
Arizona Diamondbacks,408449.4898989899
Atlanta Braves,645806.7898089172
Florida Marlins,178367.9245283019
New York Yankees,622880.715
San Francisco Giants,323405.8922413793
Toronto Blue Jays,408219.7747252747
Tampa Bay Rays,445666.6666666667
Kansas City Royals,280802.9197080292
Houston Astros,396486.31400966184
Pittsburgh Pirates,389442.3533834586
Colorado Rockies,397388.0505050505
San Diego Padres,325446.2697368421
Cleveland Indians,459388.354368932
Chicago White Sox,386571.15204678365
St. Louis Cardinals,411150.5888324873
Boston Red Sox,604336.8219895288
Seattle Mariners,435603.7964071856
Philadelphia Phillies,310569.4423076923
Minnesota Twins,217735.84905660377
Detroit Tigers,463407.5546875
