Franchise,AverageSalary
New York Mets,3269397.6
Cincinnati Reds,1978137.9310344828
Los Angeles Angels of Anaheim,1251055.5555555555
Milwaukee Brewers,1551408.0344827587
Texas Rangers,2662772.727272727
Oakland Athletics,1283148.4375
Washington Nationals,1114359.375
Arizona Diamondbacks,2788724.103448276
Atlanta Braves,3168489.5625
Los Angeles Dodgers,3622772.6774193547
Chicago Cubs,2533854.8387096776
Florida Marlins,1012875.0
New York Yankees,3559318.3714285716
Baltimore Orioles,1999016.6666666667
Kansas City Royals,1240967.7419354839
Houston Astros,2487050.515151515
Pittsburgh Pirates,1670833.322580645
Colorado Rockies,2126563.081081081
San Francisco Giants,2344692.71875
Toronto Blue Jays,2751703.6666666665
Tampa Bay Rays,1623500.0
Cleveland Indians,3052709.709677419
Chicago White Sox,2448283.962962963
St. Louis Cardinals,2699888.8666666667
Boston Red Sox,3394950.970588235
Philadelphia Phillies,1562865.5806451612
Minnesota Twins,1236428.5714285714
Detroit Tigers,2118434.535714286
Seattle Mariners,2797916.6923076925
San Diego Padres,1499025.2424242424
